surface,winner_rank,loser_rank
Hard,7,61
Hard,41,38
Hard,29,94
Hard,77,12
Hard,15,55
Hard,58,24
Hard,103,37
Hard,5,46
Hard,10,60
Hard,62,32
Hard,23,97
Hard,99,11
Hard,16,53
Hard,20,88
Hard,34,95
Hard,155,3
Hard,81,117
Hard,83,87
Hard,453,93
Hard,80,43
Hard,101,56
Hard,110,90
Hard,86,73
Hard,106,48
Hard,54,52
Hard,57,98
Hard,75,255
Hard,65,130
Hard,113,71
Hard,40,79
Hard,131,91
Hard,44,85
Hard,61,84
Hard,41,426
Hard,94,67
Hard,77,51
Hard,55,69
Hard,58,45
Hard,103,49
Hard,46,50
Hard,60,63
Hard,62,198
Hard,97,59
Hard,99,72
Hard,53,150
Hard,88,76
Hard,95,78
Hard,155,68
Hard,8,4
Hard,8,14
Hard,4,2
Hard,8,19
Hard,14,130
Hard,4,67
Hard,2,13
Hard,19,39
Hard,8,89
Hard,14,55
Hard,130,74
Hard,67,25
Hard,4,23
Hard,13,9
Hard,2,113
Hard,39,1
Hard,19,91
Hard,89,97
Hard,8,29
Hard,55,3
Hard,14,217
Hard,74,58
Hard,130,32
Hard,67,7
Hard,25,11
Hard,23,53
Hard,4,40
Hard,9,34
Hard,13,102
Hard,113,15
Hard,2,26
Hard,1,128
Hard,39,33
Hard,19,56
Hard,91,16
Hard,89,12
Hard,97,18
Hard,29,60
Hard,8,77
Hard,3,50
Hard,55,95
Hard,217,24
Hard,14,51
Hard,58,10
Hard,74,22
Hard,32,88
Hard,130,99
Hard,7,52
Hard,67,30
Hard,25,38
Hard,11,45
Hard,53,17
Hard,23,86
Hard,40,31
Hard,4,85
Hard,9,131
Hard,34,125
Hard,102,68
Hard,13,78
Hard,15,62
Hard,113,21
Hard,26,111
Hard,2,192
Hard,128,117
Hard,39,44
Hard,56,59
Hard,91,54
Hard,89,49
Hard,97,69
Hard,60,90
Hard,77,80
Hard,50,75
Hard,55,42
Hard,217,37
Hard,51,57
Hard,58,48
Hard,74,65
Hard,88,96
Hard,99,66
Hard,52,84
Hard,67,206
Hard,38,46
Hard,45,71
Hard,53,76
Hard,86,35
Hard,40,100
Hard,85,47
Hard,131,61
Hard,125,79
Hard,68,101
Hard,78,81
Hard,62,41
Hard,113,43
Hard,111,104
Hard,192,148
Hard,72,3
Hard,72,9
Hard,3,64
Hard,72,42
Hard,9,44
Hard,64,71
Hard,3,26
Hard,72,2
Hard,42,36
Hard,9,57
Hard,44,87
Hard,71,34
Hard,64,25
Hard,26,73
Hard,3,145
Hard,2,76
Hard,72,49
Hard,42,93
Hard,36,552
Hard,9,51
Hard,57,103
Hard,87,229
Hard,44,115
Hard,34,79
Hard,71,
Hard,64,75
Hard,25,74
Hard,26,67
Hard,73,43
Hard,145,84
Hard,3,133
Hard,29,37
Hard,37,19
Hard,29,31
Hard,37,15
Hard,19,75
Hard,31,38
Hard,29,72
Hard,15,80
Hard,37,40
Hard,19,101
Hard,75,84
Hard,38,35
Hard,31,48
Hard,29,102
Hard,72,78
Hard,80,47
Hard,40,149
Hard,37,36
Hard,101,62
Hard,75,81
Hard,84,30
Hard,35,238
Hard,38,39
Hard,48,42
Hard,29,45
Hard,102,65
Hard,72,41
Clay,251,116
Clay,228,194
Clay,337,116
Hard,16,142
Hard,11,362
Hard,11,142
Hard,42,593
Hard,72,105
Hard,105,42
Hard,72,593
Hard,171,39
Hard,55,101
Hard,55,39
Hard,262,66
Hard,69,208
Hard,66,309
Hard,69,262
Grass,37,133
Grass,53,102
Grass,37,102
Hard,32,371
Hard,3,
Hard,3,552
Hard,32,
Hard,97,211
Hard,54,140
Hard,54,
Clay,25,219
Clay,38,106
Clay,25,38
Clay,106,255
Clay,107,202
Clay,195,139
Clay,195,107
Clay,41,197
Clay,154,95
Clay,41,154
Clay,95,197
Hard,36,52
Hard,28,99
Hard,124,
Hard,113,527
Hard,324,681
Hard,113,324
Hard,,796
Hard,546,80
Hard,327,449
Hard,80,449
Hard,,
Clay,695,323
Clay,60,933
Clay,60,695
Clay,98,
Clay,440,287
Clay,98,440
Clay,287,
Clay,75,361
Clay,239,133
Clay,75,239
Hard,260,
Hard,338,1125
Hard,1125,260
Hard,338,
Hard,132,
Hard,238,1107
Hard,320,
Hard,,
Hard,488,
Hard,,
Hard,744,
Hard,922,1195
Hard,,744
Hard,345,
Hard,262,518
Hard,262,345
Hard,518,
Clay,830,
Clay,735,
Clay,735,
Clay,830,
Hard,83,
Hard,1041,544
Hard,83,1041
Hard,544,
Hard,106,395
Hard,280,146
Hard,106,802
Clay,286,90
Clay,114,110
Clay,117,110
Hard,64,135
Hard,119,179
Hard,119,64
Hard,135,123
Clay,147,136
Clay,65,371
Clay,147,65
Clay,136,371
Hard,560,220
Hard,131,545
Hard,220,131
Hard,560,545
Hard,5,551
Hard,163,161
Hard,163,5
Hard,122,716
Clay,362,671
Clay,303,383
Clay,303,362
Clay,873,671
Hard,81,227
Hard,301,210
Hard,81,222
Hard,164,
Hard,249,
Hard,748,
Clay,44,281
Clay,261,400
Clay,44,261
Clay,169,194
Clay,101,
Clay,101,169
Hard,23,40
Hard,2,17
Hard,23,150
Hard,15,17
Hard,69,79
Hard,42,35
Hard,69,62
Hard,1,42
Hard,9,21
Hard,1,15
Hard,150,48
Hard,18,15
Hard,25,27
Hard,1,14
Hard,12,36
Hard,32,8
Hard,150,36
Hard,15,32
Hard,150,12
Hard,15,8
Hard,67,200
Hard,163,57
Hard,126,179
Hard,163,42
Hard,69,67
Hard,57,42
Hard,158,277
Hard,11,194
Hard,30,158
Hard,18,11
Hard,30,470
Hard,18,194
Hard,79,77
Hard,33,35
Hard,79,25
Hard,35,14
Hard,25,77
Hard,14,33
Hard,23,9
Hard,1,17
Hard,23,280
Hard,17,28
Hard,9,
Hard,1,280
Hard,40,104
Hard,2,73
Hard,40,29
Hard,2,24
Hard,29,81
Hard,73,10
Hard,31,61
Hard,61,46
Hard,31,10
Hard,61,93
Hard,46,12
Hard,31,14
Hard,10,74
Hard,61,7
Hard,93,91
Hard,12,68
Hard,46,50
Hard,31,413
Hard,14,339
Hard,74,224
Hard,10,53
Hard,61,333
Hard,93,67
Hard,91,24
Hard,68,92
Hard,50,59
Hard,46,60
Hard,31,79
Hard,413,69
Hard,339,141
Hard,74,27
Hard,224,85
Hard,53,94
Clay,112,59
Clay,59,92
Clay,112,77
Clay,92,65
Clay,59,20
Clay,112,280
Clay,77,81
Clay,65,15
